model_name,input_sentence,generated_output
fine_tuned_t5_vua,Ice [MASK] across the pond.,Ice came across the pond.
fine_tuned_t5_vua,Footsteps [MASK] on the wet ground.,Footsteps go on the wet ground.
fine_tuned_t5_vua,A bell [MASK] through the village.,A bell came through the village.
fine_tuned_t5_vua,A flame [MASK] in the lantern.,A flame floats in the lantern.
fine_tuned_t5_vua,Ripples [MASK] in the calm water.,Ripples float in the calm water.
fine_tuned_t5_vua,Voices [MASK] in the crowded room.,Voices come in the crowded room.
fine_tuned_t5_vua,Clouds [MASK] over the skyline.,Clouds drifting over the skyline.
fine_tuned_t5_vua,Wind [MASK] against the shutters.,Wind blows against the shutters.
fine_tuned_t5_vua,Rain [MASK] on the dry earth.,Rain fell on the dry earth.
fine_tuned_t5_vua,Sunbeams [MASK] through the open blinds.,Sunbeams come through the open blinds.
fine_tuned_t5_vua,Footprints [MASK] in the soft mud.,Footprints lay in the soft mud.
fine_tuned_t5_vua,The tide [MASK] against the harbor wall.,The tide swept against the harbor wall.
fine_tuned_t5_vua,Echoes [MASK] in the deep cave.,Echoes come in the deep cave.
fine_tuned_t5_vua,Snowflakes [MASK] onto the cold ground.,Snowflakes fell onto the cold ground.
fine_tuned_t5_vua,Shadows [MASK] over the busy street.,Shadows strewn over the busy street.
fine_tuned_t5_vua,Lanterns [MASK] in the quiet alley.,Lanterns lay in the quiet alley.
fine_tuned_t5_vua,Stars [MASK] beyond the horizon.,Stars go beyond the horizon.
fine_tuned_t5_vua,A stream [MASK] down the hillside.,A stream swept down the hillside.
fine_tuned_t5_vua,Fog [MASK] through the forest.,Fog came through the forest.
fine_tuned_t5_vua,The tide [MASK] against the cliffs.,The tide swept against the cliffs.
fine_tuned_t5_vua,Sunbeams [MASK] over the meadow.,Sunbeams lay over the meadow.
fine_tuned_t5_vua,Leaves [MASK] in the autumn breeze.,Leaves clinging in the autumn breeze.
fine_tuned_t5_vua,Shadows [MASK] over the cobblestones.,Shadows go over the cobblestones.
fine_tuned_t5_vua,A stream [MASK] through the valley.,A stream running through the valley.
fine_tuned_t5_trofi,"The ocean [MASK] against the cliffs, roaring its eternal song.","The ocean rests against the cliffs, roaring its eternal song.'"
fine_tuned_t5_trofi,The garden [MASK] with colors as the flowers greeted the sun.,The garden filled with colors as the flowers greeted the sun.'
fine_tuned_t5_trofi,"The airplane [MASK] through the sky, leaving a trail of whispers behind.","The airplane flew through the sky, leaving a trail of whispers behind.'"
fine_tuned_t5_trofi,"The dog [MASK] through the field, a blur of fur and joy.","The dog stumbles through the field, a blur of fur and joy.'"
fine_tuned_t5_trofi,The sky [MASK] a mosaic of pink and orange as the day turned to night.,The sky melted a mosaic of pink and orange as the day turned to night.'
fine_tuned_t5_trofi,"The rain [MASK] on the roof, a rhythmic lullaby to the weary.","The rain pours on the roof, a rhythmic lullaby to the weary.'"
fine_tuned_t5_trofi,"The path [MASK] through the forest, inviting travelers into its mystery.","The path flows through the forest, inviting travelers into its mystery.'"
fine_tuned_t5_trofi,"The flame [MASK] in the lantern, a quiet guardian of the night.","The flame pours in the lantern, a quiet guardian of the night."
fine_tuned_t5_trofi,"The snow [MASK] the rooftops, wrapping the world in a pristine blanket.","The snow melts the rooftops, wrapping the world in a pristine blanket.'"
fine_tuned_t5_trofi,The riverbank [MASK] with laughter as children played by the water.,The riverbank filled with laughter as children played by the water.
fine_tuned_t5_trofi,"The bridge [MASK] the past and the future, connecting time and space.","The bridge fills the past and the future, connecting time and space.'"
fine_tuned_t5_trofi,"The stars [MASK] in the velvet night, guardians of ancient stories.","The stars slept in the velvet night, guardians of ancient stories.'"
fine_tuned_t5_trofi,"The old photo [MASK] on the mantelpiece, a silent witness to forgotten times.","The old photo sticks on the mantelpiece, a silent witness to forgotten times.'"
fine_tuned_t5_trofi,"The moon [MASK] the lake’s surface, a spotlight for the nocturnal world.","The moon touches the lake’s surface, a spotlight for the nocturnal world."
fine_tuned_t5_trofi,"The clouds [MASK] their burden on the earth, nourishing the soil below.","The clouds fill their burden on the earth, nourishing the soil below.'"
fine_tuned_t5_trofi,"The tree [MASK] its shadow on the ground, a refuge from the blazing sun.","The tree absorbs its shadow on the ground, a refuge from the blazing sun.'"
fine_tuned_t5_trofi,The library [MASK] a treasure trove of forgotten worlds and unseen adventures.,The library filled a treasure trove of forgotten worlds and unseen adventures.'
fine_tuned_t5_trofi,"The clock tower [MASK] its chime, marking the march of time.","The clock tower absorbs its chime, marking the march of time.'"
fine_tuned_t5_trofi,The musician [MASK] the silence with notes that danced in the air.,The musician touched the silence with notes that danced in the air.'
fine_tuned_t5_trofi,"The lighthouse [MASK] the sailors home, a beacon of hope in the dark.","The lighthouse burns the sailors home, a beacon of hope in the dark.'"
fine_tuned_t5_trofi,The fields [MASK] a golden sea as the wheat swayed with the breeze.,The fields filled a golden sea as the wheat swayed with the breeze.'
fine_tuned_t5_trofi,"The kite [MASK] the sky, tethered yet free.","The kite strikes the sky, tethered yet free.'"
fine_tuned_t5_trofi,"The book [MASK] into her imagination, painting vivid pictures of another world.","The book poured into her imagination, painting vivid pictures of another world.'"
fine_tuned_t5_trofi,"The raindrops [MASK] on the petals, jewels that adorned nature's crown.","The raindrops rain on the petals, jewels that adorned nature's crown.'"
fine_tuned_t5_trofi,The horizon [MASK] the promise of a new beginning as dawn broke.,The horizon touched the promise of a new beginning as dawn broke.'
fine_tuned_t5_trofi,"The cityscape [MASK] the skyline, a symphony of steel and glass.","The cityscape fills the skyline, a symphony of steel and glass."
fine_tuned_t5_trofi,"The bench [MASK] under the tree, waiting for someone to share its solitude.","The bench rests under the tree, waiting for someone to share its solitude.'"
fine_tuned_t5_trofi,"The storm [MASK] the trees, their branches bending in reluctant surrender.","The storm killed the trees, their branches bending in reluctant surrender.'"
fine_tuned_t5_trofi,"The mirror [MASK] her reflection, a truth she wasn’t ready to face.","The mirror touched her reflection, a truth she wasn’t ready to face.'"
fine_tuned_t5_trofi,"The candlelight [MASK] in his eyes, reflecting the warmth of his smile.","The candlelight flows in his eyes, reflecting the warmth of his smile.'"
fine_tuned_t5_trofi,"The road [MASK] through the hills, winding like a serpent of asphalt.","The road flows through the hills, winding like a serpent of asphalt.'"
fine_tuned_t5_trofi,"The train tracks [MASK] into the distance, converging into a point of mystery.","The train tracks roll into the distance, converging into a point of mystery.'"
fine_tuned_t5_trofi,"The snowfall [MASK] the silence, its touch soft and transformative.","The snowfall fills the silence, its touch soft and transformative.'"
fine_tuned_t5_trofi,"The curtains [MASK] the sunlight, painting the room in shadows.","The curtains fill the sunlight, painting the room in shadows.'"
fine_tuned_t5_trofi,"The fog [MASK] the town, a ghostly veil that hid its secrets.","The fog melted the town, a ghostly veil that hid its secrets.'"
fine_tuned_t5_trofi,The playground [MASK] with joy as children ran and laughed.,The playground filled with joy as children ran and laughed.'
fine_tuned_t5_trofi,"The door [MASK] its hinges, a creak that echoed through the hall.","The door knocked its hinges, a creak that echoed through the hall.'"
fine_tuned_t5_trofi,"The sand [MASK] in the wind, a dance of tiny grains in the air.","The sand flows in the wind, a dance of tiny grains in the air.'"
fine_tuned_t5_trofi,"The butterfly [MASK] the meadow, a fleeting brush of color.","The butterfly attacks the meadow, a fleeting brush of color.'"
fine_tuned_t5_trofi,"The mountain trail [MASK] the summit, a promise to the determined.","The mountain trail rides the summit, a promise to the determined.'"
fine_tuned_t5_trofi,"The fireflies [MASK] in the dusk, tiny beacons of wonder.","The fireflies fly in the dusk, tiny beacons of wonder.'"
fine_tuned_t5_trofi,"The wind [MASK] the leaves, a chorus of whispers in the forest.","The wind touches the leaves, a chorus of whispers in the forest.'"
fine_tuned_t5_trofi,"The ice [MASK] the surface of the pond, trapping a world beneath.","The ice melts the surface of the pond, trapping a world beneath."
fine_tuned_t5_trofi,"The lighthouse beam [MASK] through the fog, slicing the darkness.","The lighthouse beam flows through the fog, slicing the darkness.'"
fine_tuned_t5_trofi,"The waves [MASK] against the rocks, relentless and unyielding.","The waves roll against the rocks, relentless and unyielding."
fine_tuned_t5_trofi,"The violin [MASK] a melody, strings vibrating with emotion.","The violin melts a melody, strings vibrating with emotion.'"
fine_tuned_t5_trofi,"The sunrise [MASK] the peaks, a gentle unveiling of the day.","The sunrise touched the peaks, a gentle unveiling of the day."
fine_tuned_t5_trofi,"The bookshop [MASK] with stories, its shelves groaning under the weight of words.","The bookshop filled with stories, its shelves groaning under the weight of words.'"
fine_tuned_t5_trofi,"The campfire [MASK] under the stars, a beacon of warmth in the wilderness.","The campfire rests under the stars, a beacon of warmth in the wilderness.'"
fine_tuned_t5_trofi,"The streetlamp [MASK] the sidewalk, casting pools of light in the night.","The streetlamp rests the sidewalk, casting pools of light in the night."
fine_tuned_t5_trofi,"The forest path [MASK] the shadows, a portal to another realm.","The forest path fills the shadows, a portal to another realm.'"
fine_tuned_t5_trofi,"The balloon [MASK] into the sky, a solitary traveler on the wind.","The balloon rides into the sky, a solitary traveler on the wind.'"
fine_tuned_t5_trofi,"The meadow [MASK] with daisies, a carpet of white and yellow.","The meadow rests with daisies, a carpet of white and yellow.'"
fine_tuned_t5_trofi,"The ferry [MASK] the river, ferrying dreams across the water.","The ferry flows the river, ferrying dreams across the water."
fine_tuned_t5_trofi,"The storm clouds [MASK] the horizon, a harbinger of nature's wrath.","The storm clouds roll the horizon, a harbinger of nature's wrath.'"
fine_tuned_t5_trofi,"The stars [MASK] above, a canvas of infinite wonder.","The stars roll above, a canvas of infinite wonder.'"
fine_tuned_t5_trofi,"The campfire smoke [MASK] the air, carrying the scent of stories untold.","The campfire smoke pours the air, carrying the scent of stories untold.'"
fine_tuned_t5_trofi,"The bell [MASK] through the village, summoning all to gather.","The bell rained through the village, summoning all to gather.'"
fine_tuned_t5_trofi,"The eagle [MASK] the mountains, its gaze piercing and majestic.","The eagle strikes the mountains, its gaze piercing and majestic."
fine_tuned_t5_trofi,"The vines [MASK] the old stone wall, reclaiming what time forgot.","The vines fill the old stone wall, reclaiming what time forgot.'"
fine_tuned_t5_trofi,"The rain [MASK] the streets, rivers flowing where there were none.","The rain poured the streets, rivers flowing where there were none.'"
fine_tuned_t5_trofi,"The cobblestones [MASK] with history, each step a journey through time.","The cobblestones flow with history, each step a journey through time.'"
fine_tuned_t5_trofi,"The willow [MASK] over the pond, a weeping guardian of its waters.","The willow rides over the pond, a weeping guardian of its waters.'"
fine_tuned_t5_trofi,"The lantern [MASK] the alleyway, casting long shadows on the cobbles.","The lantern flows the alleyway, casting long shadows on the cobbles."
fine_tuned_t5_trofi,"The storm [MASK] through the valley, a fierce display of untamed power.","The storm melted through the valley, a fierce display of untamed power.'"
fine_tuned_t5_trofi,"The leaves [MASK] the ground, creating a mosaic of autumn hues.","The leaves flow the ground, creating a mosaic of autumn hues.'"
fine_tuned_t5_trofi,"The owl [MASK] the night, its call a haunting melody.","The owl sleeps the night, its call a haunting melody.'"
fine_tuned_t5_trofi,"The carnival [MASK] with laughter, lights, and music that enchanted the night.","The carnival filled with laughter, lights, and music that enchanted the night."
fine_tuned_t5_trofi,"The bridge [MASK] the river, uniting the banks in steadfast connection.","The bridge connects the river, uniting the banks in steadfast connection.'"
fine_tuned_t5_trofi,"The theater [MASK] with anticipation, the stage set for stories to unfold.","The theater filled with anticipation, the stage set for stories to unfold.'"
fine_tuned_t5_trofi,"The moonlight [MASK] the landscape, turning night into a silver dream.","The moonlight fills the landscape, turning night into a silver dream.'"
fine_tuned_t5_trofi,"The castle [MASK] on the hill, a relic of a forgotten age.","The castle rests on the hill, a relic of a forgotten age.'"
fine_tuned_t5_trofi,"The marketplace [MASK] with life, every stall a world of its own.","The marketplace filled with life, every stall a world of its own.'"
fine_tuned_t5_trofi,"The fireworks [MASK] the sky, blossoms of color that faded too soon.","The fireworks rained the sky, blossoms of color that faded too soon.'"
fine_tuned_t5_trofi,"The garden path [MASK] into the distance, leading to secrets untold.","The garden path flows into the distance, leading to secrets untold.'"
fine_tuned_t5_trofi,"The waves [MASK] the shore, a lullaby for the restless night.","The waves roll the shore, a lullaby for the restless night.'"
fine_tuned_t5_trofi,"The clock hands [MASK] ever onward, relentless in their march.","The clock hands roll ever onward, relentless in their march.'"
fine_tuned_t5_trofi,"The curtain [MASK] the stage, revealing the world of make-believe.","The curtain rode the stage, revealing the world of make-believe.'"
fine_tuned_t5_trofi,"The snowfall [MASK] the rooftops, cloaking the town in quiet magic.","The snowfall destroys the rooftops, cloaking the town in quiet magic.'"
fine_tuned_t5_trofi,"The child’s imagination [MASK] beyond the stars, dreaming of impossible things.","The child’s imagination rests beyond the stars, dreaming of impossible things.'"
fine_tuned_t5_trofi,"The meadow [MASK] with wildflowers, a kaleidoscope of color and fragrance.","The meadow filled with wildflowers, a kaleidoscope of color and fragrance."
fine_tuned_t5_trofi,"The autumn breeze [MASK] leaves through the air, a dance of red and gold.","The autumn breeze flows leaves through the air, a dance of red and gold.'"
fine_tuned_t5_trofi,"The river stones [MASK] the water’s edge, polished smooth by time.","The river stones smooth the water’s edge, polished smooth by time."
fine_tuned_t5_trofi,"The candle’s flame [MASK] in the dark, a fragile sentinel of light.","The candle’s flame rests in the dark, a fragile sentinel of light.'"
fine_tuned_t5_trofi,"The festival [MASK] with colors, music, and joy that knew no bounds.","The festival filled with colors, music, and joy that knew no bounds.'"
fine_tuned_t5_trofi,"The lighthouse [MASK] the rocky shore, a sentinel against the storm.","The lighthouse burns the rocky shore, a sentinel against the storm.'"
fine_tuned_t5_trofi,"The morning dew [MASK] the grass, diamonds that vanished with the sun.","The morning dew touched the grass, diamonds that vanished with the sun.'"
fine_tuned_t5_trofi,"The clouds [MASK] over the horizon, painting the sky in strokes of gray.","The clouds roll over the horizon, painting the sky in strokes of gray.'"
fine_tuned_t5_trofi,"The attic [MASK] with forgotten memories, dust coating the relics of yesteryears.","The attic filled with forgotten memories, dust coating the relics of yesteryears.'"
fine_tuned_t5_trofi,"The river [MASK] its journey through the valley, carving stories into the earth.","The river flows its journey through the valley, carving stories into the earth.'"
fine_tuned_t5_trofi,"The candle [MASK] its warmth, a fragile guardian against the dark.","The candle absorbs its warmth, a fragile guardian against the dark.'"
fine_tuned_t5_trofi,"The forest [MASK] with whispers, the wind telling secrets to the trees.","The forest filled with whispers, the wind telling secrets to the trees.'"
fine_tuned_t5_trofi,"The dawn [MASK] the horizon, casting golden promises over the waking world.","The dawn melted the horizon, casting golden promises over the waking world.'"
fine_tuned_t5_trofi,"The fire [MASK] in the hearth, a crackling heart of warmth and life.","The fire strikes in the hearth, a crackling heart of warmth and life."
fine_tuned_t5_trofi,"The meadow [MASK] under the starlight, a sea of shadows and dreams.","The meadow lies under the starlight, a sea of shadows and dreams.'"
fine_tuned_t5_trofi,"The waterfall [MASK] into the pool below, a symphony of ceaseless motion.","The waterfall flows into the pool below, a symphony of ceaseless motion."
fine_tuned_t5_trofi,"The mountain [MASK] the sky, its peak a silent witness to the heavens.","The mountain rises the sky, its peak a silent witness to the heavens.'"
fine_tuned_t5_trofi,"The city [MASK] to life, its streets buzzing with the hum of humanity.","The city sticks to life, its streets buzzing with the hum of humanity.'"
fine_tuned_t5_trofi,"The tree [MASK] its roots into the earth, a silent testament to resilience.","The tree planted its roots into the earth, a silent testament to resilience.'"
fine_tuned_t5_trofi,"The shore [MASK] with shells, each one a fragment of the ocean's story.","The shore rests with shells, each one a fragment of the ocean's story.'"
fine_tuned_t5_trofi,Rain [MASK] against the window.,Rain pours against the window.
fine_tuned_t5_trofi,A kite [MASK] into the sky.,A kite pours into the sky.'
fine_tuned_t5_trofi,Clouds [MASK] across the horizon.,Clouds fly across the horizon.'
fine_tuned_t5_trofi,Birds [MASK] in formation.,Birds fly in formation.'
fine_tuned_t5_trofi,A riverbank [MASK] under the floodwaters.,A riverbank rests under the floodwaters.
fine_tuned_t5_trofi,Sunlight [MASK] through the branches.,Sunlight flows through the branches.
fine_tuned_t5_trofi,Ants [MASK] across the forest floor.,Ants fly across the forest floor.
fine_tuned_t5_trofi,Flames [MASK] in the fireplace.,Flames fly in the fireplace.'
fine_tuned_t5_trofi,Leaves [MASK] to the ground.,Leaves fly to the ground.'
fine_tuned_t5_trofi,Music [MASK] from the speakers.,Music flows from the speakers.'
fine_tuned_t5_trofi,Mountains [MASK] into the mist.,Mountains roll into the mist.'
fine_tuned_t5_trofi,A clock [MASK] away quietly.,A clock melts away quietly.
fine_tuned_t5_trofi,Words [MASK] on the page.,Words stick on the page.'
fine_tuned_t5_trofi,A shadow [MASK] along the wall.,A shadow rests along the wall.'
fine_tuned_t5_trofi,Lightning [MASK] across the sky.,Lightning flying across the sky.'
fine_tuned_t5_trofi,Footsteps [MASK] in the empty hall.,Footsteps roll in the empty hall.
fine_tuned_t5_trofi,A whisper [MASK] through the trees.,A whisper flows through the trees.'
fine_tuned_t5_trofi,Waves [MASK] over the rocks.,Waves roll over the rocks.
fine_tuned_t5_trofi,Frost [MASK] the windowpane.,Frost touches the windowpane.
fine_tuned_t5_trofi,A ship [MASK] across the water.,A ship rolls across the water.'
fine_tuned_t5_trofi,Lanterns [MASK] the cobblestone street.,Lanterns fill the cobblestone street.
fine_tuned_t5_trofi,Eyes [MASK] into the distance.,Eyes roll into the distance.'
fine_tuned_t5_trofi,Roots [MASK] deep into the earth.,Roots flow deep into the earth.'
fine_tuned_t5_trofi,An echo [MASK] in the cavern.,An echo flows in the cavern.'
fine_tuned_t5_trofi,A candle [MASK] against the wind.,A candle sticks against the wind.'
fine_tuned_t5_trofi,Cloud shadows [MASK] over the fields.,Cloud shadows fly over the fields.
fine_tuned_t5_trofi,A waterfall [MASK] into the pool.,A waterfall pours into the pool.'
fine_tuned_t5_trofi,Stars [MASK] above.,Stars fly above.
fine_tuned_t5_trofi,Branches [MASK] under the weight of the snow.,Branches die under the weight of the snow.'
fine_tuned_t5_trofi,Voices [MASK] in the crowd.,Voices fly in the crowd.'
fine_tuned_t5_trofi,Dreams [MASK] through her mind.,Dreams flow through her mind.'
fine_tuned_t5_trofi,A river [MASK] through the canyon.,A river flows through the canyon.'
fine_tuned_t5_trofi,Whispers [MASK] in the wind.,Whispers fly in the wind.'
fine_tuned_t5_trofi,Mountains [MASK] against the sky.,Mountains fly against the sky.'
fine_tuned_t5_trofi,Smoke [MASK] into the air.,Smoke pours into the air.'
fine_tuned_t5_trofi,Footprints [MASK] in the sand.,Footprints fly in the sand.'
fine_tuned_t5_trofi,Ripples [MASK] across the pond.,Ripples roll across the pond.'
fine_tuned_t5_trofi,Voices [MASK] around the campfire.,Voices fly around the campfire.
fine_tuned_t5_trofi,A breeze [MASK] through the garden.,A breeze flows through the garden.'
fine_tuned_t5_trofi,Rain [MASK] the earth.,Rain pours the earth.'
fine_tuned_t5_trofi,Branches [MASK] into the heavens.,Branches fly into the heavens.'
fine_tuned_t5_trofi,Eyes [MASK] with curiosity.,Eyes flow with curiosity.'
fine_tuned_t5_trofi,Tides [MASK] on the shore.,Tides roll on the shore.'
fine_tuned_t5_trofi,Colors [MASK] across the canvas.,Colors flow across the canvas.
fine_tuned_t5_trofi,Dreams [MASK] to life in her journal.,Dreams flow to life in her journal.'
fine_tuned_t5_trofi,A whisper [MASK] in the silence.,A whisper rests in the silence.'
fine_tuned_t5_trofi,Hills [MASK] in the distance.,Hills roll in the distance.
fine_tuned_t5_trofi,Reflections [MASK] on the water.,Reflections stick on the water.'
fine_tuned_t5_trofi,Bells [MASK] in the distance.,Bells fly in the distance.'
fine_tuned_t5_trofi,A melody [MASK] through the room.,A melody flows through the room.'
fine_tuned_t5_trofi,Wind [MASK] through the open window.,Wind flows through the open window.
fine_tuned_t5_trofi,Streams [MASK] down the mountain.,Streams flow down the mountain.'
fine_tuned_t5_trofi,Fog [MASK] the valley.,Fog eats the valley.'
fine_tuned_t5_trofi,Stars [MASK] in the night sky.,Stars fly in the night sky.'
fine_tuned_t5_trofi,Laughter [MASK] across the courtyard.,Laughter pours across the courtyard.
fine_tuned_t5_trofi,Shadows [MASK] behind the trees.,Shadows fly behind the trees.'
fine_tuned_t5_trofi,Candles [MASK] in the dark room.,Candles pour in the dark room.
fine_tuned_t5_trofi,Steps [MASK] down the staircase.,Steps down the staircase.
fine_tuned_t5_trofi,Mist [MASK] the morning air.,Mist fills the morning air.'
fine_tuned_t5_trofi,Time [MASK] through their hands.,Time melted through their hands.'
fine_tuned_t5_trofi,Dreams [MASK] into the night.,Dreams fly into the night.
fine_tuned_t5_trofi,Echoes [MASK] through the tunnel.,Echoes fly through the tunnel.'
fine_tuned_t5_trofi,Roots [MASK] through the soil.,Roots flow through the soil.'
fine_tuned_t5_trofi,Stories [MASK] from the fireplace.,Stories flow from the fireplace.
fine_tuned_t5_trofi,Tides [MASK] on the rocky shore.,Tides fly on the rocky shore.'
fine_tuned_t5_trofi,Colors [MASK] over the horizon.,Colors fly over the horizon.'
fine_tuned_t5_trofi,Birdsong [MASK] in the quiet forest.,Birdsong sleeps in the quiet forest.'
fine_tuned_t5_trofi,Fog [MASK] over the hills.,Fog poured over the hills.'
fine_tuned_t5_trofi,A comet [MASK] across the stars.,A comet rolls across the stars.'
fine_tuned_t5_trofi,Snow [MASK] over the rooftops.,Snow pours over the rooftops.
fine_tuned_t5_trofi,Whispers [MASK] through the empty house.,Whispers fly through the empty house.'
fine_tuned_t5_trofi,Streams [MASK] through the woods.,Streams flow through the woods.
fine_tuned_t5_trofi,Dreams [MASK] across the pillow.,Dreams fly across the pillow.
fine_tuned_t5_trofi,Sunlight [MASK] on the mountain peak.,Sunlight pours on the mountain peak.
fine_tuned_t5_trofi,Leaves [MASK] on the forest floor.,Leaves die on the forest floor.'
fine_tuned_t5_trofi,Thunder [MASK] in the distance.,Thunder escapes in the distance.'
fine_tuned_t5_trofi,Ice [MASK] across the pond.,Ice pours across the pond.
fine_tuned_t5_trofi,Footsteps [MASK] on the wet ground.,Footsteps roll on the wet ground.'
fine_tuned_t5_trofi,A bell [MASK] through the village.,A bell rolls through the village.'
fine_tuned_t5_trofi,A flame [MASK] in the lantern.,A flame pours in the lantern.'
fine_tuned_t5_trofi,Ripples [MASK] in the calm water.,Ripples die in the calm water.'
fine_tuned_t5_trofi,Voices [MASK] in the crowded room.,Voices fly in the crowded room.
fine_tuned_t5_trofi,Clouds [MASK] over the skyline.,Clouds roll over the skyline.
fine_tuned_t5_trofi,Wind [MASK] against the shutters.,Wind flows against the shutters.
fine_tuned_t5_trofi,Rain [MASK] on the dry earth.,Rain pours on the dry earth.'
fine_tuned_t5_trofi,Sunbeams [MASK] through the open blinds.,Sunbeams roll through the open blinds.
fine_tuned_t5_trofi,Footprints [MASK] in the soft mud.,Footprints stick in the soft mud.
fine_tuned_t5_trofi,The tide [MASK] against the harbor wall.,The tide flows against the harbor wall.'
fine_tuned_t5_trofi,Echoes [MASK] in the deep cave.,Echoes flow in the deep cave.'
fine_tuned_t5_trofi,Snowflakes [MASK] onto the cold ground.,Snowflakes fly onto the cold ground.'
fine_tuned_t5_trofi,Shadows [MASK] over the busy street.,Shadows roll over the busy street.
fine_tuned_t5_trofi,Lanterns [MASK] in the quiet alley.,Lanterns sleep in the quiet alley.
fine_tuned_t5_trofi,Stars [MASK] beyond the horizon.,Stars fly beyond the horizon.'
fine_tuned_t5_trofi,A stream [MASK] down the hillside.,A stream flows down the hillside.'
fine_tuned_t5_trofi,Fog [MASK] through the forest.,Fog flows through the forest.'
fine_tuned_t5_trofi,The tide [MASK] against the cliffs.,The tide flows against the cliffs.'
fine_tuned_t5_trofi,Sunbeams [MASK] over the meadow.,Sunbeams roll over the meadow.'
fine_tuned_t5_trofi,Leaves [MASK] in the autumn breeze.,Leaves fly in the autumn breeze.
fine_tuned_t5_trofi,Shadows [MASK] over the cobblestones.,Shadows roll over the cobblestones.
fine_tuned_t5_trofi,A stream [MASK] through the valley.,A stream flows through the valley.'
fine_tuned_t5_combined_df,"The ocean [MASK] against the cliffs, roaring its eternal song.","The ocean gulped against the cliffs, roaring its eternal song."
fine_tuned_t5_combined_df,The garden [MASK] with colors as the flowers greeted the sun.,The garden filled with colors as the flowers greeted the sun.
fine_tuned_t5_combined_df,"The airplane [MASK] through the sky, leaving a trail of whispers behind.","The airplane rolled through the sky, leaving a trail of whispers behind."
fine_tuned_t5_combined_df,"The dog [MASK] through the field, a blur of fur and joy.","The dog stumbles through the field, a blur of fur and joy."
fine_tuned_t5_combined_df,The sky [MASK] a mosaic of pink and orange as the day turned to night.,The sky melted a mosaic of pink and orange as the day turned to night.
fine_tuned_t5_combined_df,"The rain [MASK] on the roof, a rhythmic lullaby to the weary.","The rain came on the roof, a rhythmic lullaby to the weary."
fine_tuned_t5_combined_df,"The path [MASK] through the forest, inviting travelers into its mystery.","The path flows through the forest, inviting travelers into its mystery."
fine_tuned_t5_combined_df,"The flame [MASK] in the lantern, a quiet guardian of the night.","The flame melted in the lantern, a quiet guardian of the night."
fine_tuned_t5_combined_df,"The snow [MASK] the rooftops, wrapping the world in a pristine blanket.","The snow melted the rooftops, wrapping the world in a pristine blanket."
fine_tuned_t5_combined_df,The riverbank [MASK] with laughter as children played by the water.,The riverbank filled with laughter as children played by the water.
fine_tuned_t5_combined_df,"The bridge [MASK] the past and the future, connecting time and space.","The bridge flooded the past and the future, connecting time and space."
fine_tuned_t5_combined_df,"The stars [MASK] in the velvet night, guardians of ancient stories.","The stars slept in the velvet night, guardians of ancient stories."
fine_tuned_t5_combined_df,"The old photo [MASK] on the mantelpiece, a silent witness to forgotten times.","The old photo rests on the mantelpiece, a silent witness to forgotten times."
fine_tuned_t5_combined_df,"The moon [MASK] the lake’s surface, a spotlight for the nocturnal world.","The moon rises the lake’s surface, a spotlight for the nocturnal world."
fine_tuned_t5_combined_df,"The clouds [MASK] their burden on the earth, nourishing the soil below.","The clouds fill their burden on the earth, nourishing the soil below."
fine_tuned_t5_combined_df,"The tree [MASK] its shadow on the ground, a refuge from the blazing sun.","The tree rests its shadow on the ground, a refuge from the blazing sun."
fine_tuned_t5_combined_df,The library [MASK] a treasure trove of forgotten worlds and unseen adventures.,The library contains a treasure trove of forgotten worlds and unseen adventures.
fine_tuned_t5_combined_df,"The clock tower [MASK] its chime, marking the march of time.","The clock tower melted its chime, marking the march of time."
fine_tuned_t5_combined_df,The musician [MASK] the silence with notes that danced in the air.,The musician filled the silence with notes that danced in the air.
fine_tuned_t5_combined_df,"The lighthouse [MASK] the sailors home, a beacon of hope in the dark.","The lighthouse opened the sailors home, a beacon of hope in the dark."
fine_tuned_t5_combined_df,The fields [MASK] a golden sea as the wheat swayed with the breeze.,The fields filled a golden sea as the wheat swayed with the breeze.
fine_tuned_t5_combined_df,"The kite [MASK] the sky, tethered yet free.","The kite dragged the sky, tethered yet free."
fine_tuned_t5_combined_df,"The book [MASK] into her imagination, painting vivid pictures of another world.","The book flows into her imagination, painting vivid pictures of another world."
fine_tuned_t5_combined_df,"The raindrops [MASK] on the petals, jewels that adorned nature's crown.","The raindrops fly on the petals, jewels that adorned nature's crown."
fine_tuned_t5_combined_df,The horizon [MASK] the promise of a new beginning as dawn broke.,The horizon reached the promise of a new beginning as dawn broke.
fine_tuned_t5_combined_df,"The cityscape [MASK] the skyline, a symphony of steel and glass.","The cityscape depicts the skyline, a symphony of steel and glass."
fine_tuned_t5_combined_df,"The bench [MASK] under the tree, waiting for someone to share its solitude.","The bench rests under the tree, waiting for someone to share its solitude."
fine_tuned_t5_combined_df,"The storm [MASK] the trees, their branches bending in reluctant surrender.","The storm destroyed the trees, their branches bending in reluctant surrender."
fine_tuned_t5_combined_df,"The mirror [MASK] her reflection, a truth she wasn’t ready to face.","The mirror filled her reflection, a truth she wasn’t ready to face."
fine_tuned_t5_combined_df,"The candlelight [MASK] in his eyes, reflecting the warmth of his smile.","The candlelight melted in his eyes, reflecting the warmth of his smile."
